station_name,weather_date,temperature,relative_humidity,wind_direction,wind_speed,precipitation,ffmc,isi,fwi
MOUNT CAYLEY,2021031400,-0.5,49,165,5.9,0,74.46906,1.002552,0.2005104
MOUNT CAYLEY,2021031401,-0.4,56,159,10.5,0,75.01895,1.301513,0.2603027
MOUNT CAYLEY,2021031402,-1,67,176,6.4,0,75.34299,1.078189,0.2156377
MOUNT CAYLEY,2021031403,-0.8,59,149,6.8,0,75.75815,1.127818,0.2255635
MOUNT CAYLEY,2021031404,-1.2,65,158,14.1,0,76.12509,1.667614,0.3335228
MOUNT CAYLEY,2021031405,-1.4,78,130,15.8,0,76.30258,1.838155,0.367631
MOUNT CAYLEY,2021031406,-1.7,93,175,7.3,0,76.28679,1.196492,0.2392984
MOUNT CAYLEY,2021031407,-2.1,100,178,8.2,0,75.91677,1.222299,0.2444597
MOUNT CAYLEY,2021031408,-1.8,100,162,9.4,0,75.56675,1.270809,0.2541618
MOUNT CAYLEY,2021031409,-1.9,99,146,11.3,0,75.30065,1.376776,0.2753552
MOUNT CAYLEY,2021031410,-1.5,98,159,11.7,0,75.11723,1.390229,0.2780458
MOUNT CAYLEY,2021031411,-1.5,97,146,10.1,0,75.00982,1.274899,0.2549798
MOUNT CAYLEY,2021031412,-1.4,100,183,7.5,0,74.744,1.102374,0.2204749
MOUNT CAYLEY,2021031413,-1.6,100,187,8.9,0,74.49142,1.167494,0.2334988
MOUNT CAYLEY,2021031414,-1.2,100,204,2.8,0,74.29772,0.8502051,0.170041
MOUNT CAYLEY,2021031415,-1.6,100,182,6.2,0.2,70.3608,0.8649899,0.172998
MOUNT CAYLEY,2021031416,-3.3,100,187,5.4,0.2,66.69064,0.7373655,0.1474731
MOUNT CAYLEY,2021031417,-4.9,100,175,6.4,0.2,63.26268,0.6752935,0.1350587
MOUNT CAYLEY,2021031418,-5.1,100,156,3.2,0,63.30321,0.5758209,0.1151642
MOUNT CAYLEY,2021031419,-5.7,100,139,4.8,0,63.34375,0.6253499,0.12507
MOUNT CAYLEY,2021031420,-6,100,116,7.1,0,63.38431,0.7035172,0.1407034
MOUNT CAYLEY,2021031421,-6.3,100,133,4.9,0,63.42488,0.6308777,0.1261755
MOUNT CAYLEY,2021031422,-7.1,97,116,5.5,0,63.50534,0.6526551,0.130531
MOUNT CAYLEY,2021031423,-7.5,100,102,5.5,0,63.54595,0.6538692,0.1307738
MOUNT CAYLEY,2021031500,-8,99,102,7,0,63.59785,0.7068776,0.1413755
MOUNT CAYLEY,2021031501,-9,97,90,2.3,0,63.66596,0.5595377,0.1119075
MOUNT CAYLEY,2021031502,-9.2,93,102,2.8,0,63.78772,0.5769613,0.1153923
MOUNT CAYLEY,2021031503,-8.7,94,76,0.4,0,63.8745,0.5132174,0.1026435
MOUNT CAYLEY,2021031504,-8.7,100,55,2.9,0,63.91523,0.5831683,0.1166337
MOUNT CAYLEY,2021031505,-9.4,100,79,0.6,0,63.95597,0.5202836,0.1040567
MOUNT CAYLEY,2021031506,-9.5,100,32,2.9,0,63.99673,0.5852622,0.1170525
MOUNT CAYLEY,2021031507,-8.9,95,99,1,0,64.07868,0.533733,0.1067466
MOUNT CAYLEY,2021031508,-5.9,81,105,0.2,0,64.31866,0.5179628,0.1035926
MOUNT CAYLEY,2021031509,-3,70,142,1,0,64.79226,0.550007,0.1100014
MOUNT CAYLEY,2021031510,-2.2,69,197,3.3,0.7,54.69915,0.3205814,6.41E-02
MOUNT CAYLEY,2021031511,-2.2,66,312,1.4,7.4,15.5632,2.21E-05,4.42E-06
MOUNT CAYLEY,2021031512,-3.3,76,299,1.5,0,16.53771,3.41E-05,6.83E-06
MOUNT CAYLEY,2021031513,-1.3,61,44,1.1,0,17.96006,6.11E-05,1.22E-05
MOUNT CAYLEY,2021031514,-1.8,60,234,3.7,0,19.63709,1.37E-04,2.73E-05
MOUNT CAYLEY,2021031515,-2,56,305,3.4,0,21.36847,2.59E-04,5.19E-05
MOUNT CAYLEY,2021031516,-2.4,55,305,1.3,0,22.88157,4.02E-04,8.04E-05
MOUNT CAYLEY,2021031517,-5.6,69,95,0,0,23.63585,4.89E-04,9.77E-05
MOUNT CAYLEY,2021031518,-6.9,72,110,0.5,0,24.4469,6.58E-04,1.32E-04
MOUNT CAYLEY,2021031519,-6.9,74,119,0.2,0,25.15246,8.18E-04,1.64E-04
MOUNT CAYLEY,2021031520,-7,73,114,0.6,0,25.94549,1.08E-03,2.15E-04
MOUNT CAYLEY,2021031521,-7.4,74,126,0.8,0,26.72546,1.38E-03,2.77E-04
MOUNT CAYLEY,2021031522,-7.6,75,111,0.1,0,27.35489,1.62E-03,3.24E-04
MOUNT CAYLEY,2021031523,-7.5,76,110,0.7,0,28.06655,2.06E-03,4.12E-04
MOUNT CAYLEY,2021031600,-7.7,79,97,0,0,28.54194,2.29E-03,4.57E-04
MOUNT CAYLEY,2021031601,-7.6,80,101,0.2,0,29.07834,2.69E-03,5.38E-04
MOUNT CAYLEY,2021031602,-7.4,81,87,0.6,0,29.65188,3.23E-03,6.45E-04
MOUNT CAYLEY,2021031603,-7.9,84,111,0,0,30.01465,3.46E-03,6.92E-04
MOUNT CAYLEY,2021031604,-7.8,84,114,0.7,0,30.5111,4.10E-03,8.21E-04
MOUNT CAYLEY,2021031605,-7.4,81,121,1.3,0,31.1419,5.01E-03,1.00E-03
MOUNT CAYLEY,2021031606,-6.8,74,126,1,0,31.92881,6.05E-03,1.21E-03
MOUNT CAYLEY,2021031607,-6,62,69,2.6,0,33.138,8.89E-03,1.78E-03
MOUNT CAYLEY,2021031608,-3,42,57,0.2,0,34.58347,1.11E-02,2.23E-03
MOUNT CAYLEY,2021031609,0.4,37,330,0.2,0,36.30775,1.65E-02,3.29E-03
MOUNT CAYLEY,2021031610,0,48,229,2.9,0,38.11857,2.77E-02,5.54E-03
MOUNT CAYLEY,2021031611,0.5,48,238,2.6,0,39.90188,3.89E-02,7.77E-03
MOUNT CAYLEY,2021031612,1.5,45,263,2.3,0,41.75605,5.39E-02,1.08E-02
MOUNT CAYLEY,2021031613,2.8,46,348,0.8,0,43.44641,6.68E-02,1.34E-02
MOUNT CAYLEY,2021031614,2.4,47,319,2.1,0,45.21257,9.45E-02,0.0188942
MOUNT CAYLEY,2021031615,2.5,43,259,1.3,0,46.94117,0.1170952,2.34E-02
MOUNT CAYLEY,2021031616,1.2,50,288,0.8,0,48.33009,0.138139,0.0276278
MOUNT CAYLEY,2021031617,-1.5,65,294,0.1,0,49.1316,0.1479928,2.96E-02
MOUNT CAYLEY,2021031618,-3.3,71,97,0.7,0,49.8503,0.1668818,3.34E-02
MOUNT CAYLEY,2021031619,-3.7,75,107,0.1,0,50.37993,0.1726352,3.45E-02
MOUNT CAYLEY,2021031620,-3.3,70,112,0.2,0,51.02895,0.1872381,3.74E-02
MOUNT CAYLEY,2021031621,-2.9,64,81,1.1,0,51.90347,0.2161934,4.32E-02
MOUNT CAYLEY,2021031622,-3,59,110,0.1,0,52.70963,0.2241509,4.48E-02
MOUNT CAYLEY,2021031623,-3,55,63,0.1,0,53.56863,0.2447248,4.89E-02
MOUNT CAYLEY,2021031700,-3,50,116,0.3,0,54.53697,0.271466,5.43E-02
MOUNT CAYLEY,2021031701,-2.8,51,98,0.1,0,55.43061,0.2915407,5.83E-02
MOUNT CAYLEY,2021031702,-3.2,53,62,0.3,0,56.30084,0.3173535,6.35E-02
MOUNT CAYLEY,2021031703,-3.2,56,64,0.7,0,57.15292,0.3469247,6.94E-02
MOUNT CAYLEY,2021031704,-3,52,63,2.2,0,58.16624,0.4039457,8.08E-02
MOUNT CAYLEY,2021031705,-3.3,51,95,0.3,0,58.99977,0.3892563,7.79E-02
MOUNT CAYLEY,2021031706,-2.2,39,95,1.5,0,60.15612,0.445808,0.0891616
MOUNT CAYLEY,2021031707,-0.9,33,109,0,0,61.20019,0.4397301,8.79E-02
MOUNT CAYLEY,2021031708,1.3,24,124,3.9,0,62.87491,0.5844417,0.1168883
MOUNT CAYLEY,2021031709,3.3,32,219,0.4,0,64.1628,0.5197275,0.1039455
MOUNT CAYLEY,2021031710,3.8,35,248,1.5,0,65.487,0.5797414,0.1159483
MOUNT CAYLEY,2021031711,4.4,32,296,2,0,66.87724,0.6252989,0.1250598
MOUNT CAYLEY,2021031712,4.6,31,268,2.2,0,68.24181,0.6608864,0.1321773
MOUNT CAYLEY,2021031713,4.3,42,268,2.9,0,69.34921,0.7091603,0.1418321
MOUNT CAYLEY,2021031714,3.2,48,166,3.8,0,70.2822,0.7645072,0.1529014
MOUNT CAYLEY,2021031715,3.1,49,151,5,0,71.184,0.8368354,0.1673671
MOUNT CAYLEY,2021031716,2.9,52,93,3.8,0,71.94739,0.8092625,0.1618525
MOUNT CAYLEY,2021031717,0.9,59,95,3.6,0,72.50548,0.8182001,0.16364
MOUNT CAYLEY,2021031718,0.5,56,355,0.8,0,72.98173,0.7242339,0.1448468
MOUNT CAYLEY,2021031719,0.7,54,122,6.4,0,73.614,0.9868883,0.1973777
MOUNT CAYLEY,2021031720,0.8,53,99,5.6,0,74.21735,0.9751603,0.1950321
