Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (UTC),Year,Month,Day,Time (UTC),Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/14/2021 0:00,2021,3,14,0:00,12.6,,0.8,,44,,0,,16,,10,,,,101.18,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/14/2021 1:00,2021,3,14,1:00,11.8,,0.8,,47,,0,,14,,8,,,,101.11,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/14/2021 2:00,2021,3,14,2:00,11.1,,0.9,,49,,0,,17,,5,,,,101.06,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/14/2021 3:00,2021,3,14,3:00,8.7,,2.5,,65,,0,,0,,1,,,,101.02,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/14/2021 4:00,2021,3,14,4:00,7.8,,3,,72,,0,,3,,2,,,,100.99,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/14/2021 5:00,2021,3,14,5:00,6.4,,3,,78,,0,,5,,4,,,,100.95,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/14/2021 6:00,2021,3,14,6:00,5.3,,2.8,,84,,0,,0,,1,,,,100.9,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/14/2021 7:00,2021,3,14,7:00,5.1,,2.1,,81,,0,,36,,4,,,,100.87,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/14/2021 8:00,2021,3,14,8:00,5.3,,2.4,,82,,0,,1,,3,,,,100.82,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/14/2021 9:00,2021,3,14,9:00,4.9,,2.2,,82,,0,,36,,4,,,,100.73,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/14/2021 10:00,2021,3,14,10:00,4.6,,1.7,,81,,0,,27,,2,,,,100.73,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/14/2021 11:00,2021,3,14,11:00,4.8,,1.7,,80,,0,,36,,3,,,,100.61,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/14/2021 12:00,2021,3,14,12:00,4.4,,2,,84,,0,,34,,3,,,,100.52,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/14/2021 13:00,2021,3,14,13:00,4.8,,2,,82,,0,,30,,3,,,,100.4,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/14/2021 14:00,2021,3,14,14:00,4.7,,2.1,,83,,0,,0,,1,,,,100.3,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/14/2021 15:00,2021,3,14,15:00,5,,2.4,,83,,0,,22,,3,,,,100.33,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/14/2021 16:00,2021,3,14,16:00,5.4,,3.1,,85,,0,,36,,4,,,,100.35,,,,,,NA
