Date (PST),Parameter ,Value (m3/s)
3/14/2021 0:00,47,34.2
3/14/2021 0:05,47,34.1
3/14/2021 0:10,47,34.1
3/14/2021 0:15,47,34.2
3/14/2021 0:20,47,34.1
3/14/2021 0:25,47,34.2
3/14/2021 0:30,47,34.2
3/14/2021 0:35,47,34.2
3/14/2021 0:40,47,34.2
3/14/2021 0:45,47,34.2
3/14/2021 0:50,47,34.1
3/14/2021 0:55,47,34
3/14/2021 1:00,47,34.3
3/14/2021 1:05,47,34.1
3/14/2021 1:10,47,34.1
3/14/2021 1:15,47,34
3/14/2021 1:20,47,34.1
3/14/2021 1:25,47,34.1
3/14/2021 1:30,47,34.1
3/14/2021 1:35,47,34
3/14/2021 1:40,47,34
3/14/2021 1:45,47,33.9
3/14/2021 1:50,47,34.1
3/14/2021 1:55,47,34.1
3/14/2021 2:00,47,34.1
3/14/2021 2:05,47,34
3/14/2021 2:10,47,34
3/14/2021 2:15,47,34.1
3/14/2021 2:20,47,34
3/14/2021 2:25,47,34.1
3/14/2021 2:30,47,34
3/14/2021 2:35,47,34.1
3/14/2021 2:40,47,34
3/14/2021 2:45,47,34.1
3/14/2021 2:50,47,34
3/14/2021 2:55,47,34
3/14/2021 3:00,47,34
3/14/2021 3:05,47,34
3/14/2021 3:10,47,34.1
3/14/2021 3:15,47,34
3/14/2021 3:20,47,34.1
3/14/2021 3:25,47,34
3/14/2021 3:30,47,34.1
3/14/2021 3:35,47,34
3/14/2021 3:40,47,34.1
3/14/2021 3:45,47,34.1
3/14/2021 3:50,47,34.1
3/14/2021 3:55,47,34.1
3/14/2021 4:00,47,34.1
3/14/2021 4:05,47,34.1
3/14/2021 4:10,47,34
3/14/2021 4:15,47,34.1
3/14/2021 4:20,47,34.2
3/14/2021 4:25,47,34
3/14/2021 4:30,47,34.1
3/14/2021 4:35,47,34.1
3/14/2021 4:40,47,34.2
3/14/2021 4:45,47,34.1
3/14/2021 4:50,47,34.1
3/14/2021 4:55,47,34.1
3/14/2021 5:00,47,34.1
3/14/2021 5:05,47,34.2
3/14/2021 5:10,47,34.1
3/14/2021 5:15,47,34
3/14/2021 5:20,47,34.2
3/14/2021 5:25,47,34.1
3/14/2021 5:30,47,34.2
3/14/2021 5:35,47,34.2
3/14/2021 5:40,47,34.1
3/14/2021 5:45,47,34.1
3/14/2021 5:50,47,34.1
3/14/2021 5:55,47,34.1
3/14/2021 6:00,47,34.2
3/14/2021 6:05,47,34.1
3/14/2021 6:10,47,34.1
3/14/2021 6:15,47,34.1
3/14/2021 6:20,47,34.1
3/14/2021 6:25,47,34.2
3/14/2021 6:30,47,34.2
3/14/2021 6:35,47,34.2
3/14/2021 6:40,47,34.2
3/14/2021 6:45,47,34.2
3/14/2021 6:50,47,34.3
3/14/2021 6:55,47,34
3/14/2021 7:00,47,34.1
3/14/2021 7:05,47,34.3
